property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
3 Bhk Villa For Sale In Masma Village Surat,Carpet Area,1480 sqft,Unfurnished,Poss. By Jul '24,New Property,East,Freehold,Main Road Touch Underconstruction Project.,2264.0,₹33.5 Lac 
2 Bhk Apartment For Sale In Shivalik Height Surat,Super Area,1105 sqft,Resale,Ready To Move,9 Out Of 14,Unfurnished,South -West,"Book Your Budgeted 2Bhk Flat, Single Tower, Alloted Parking, Easy Payment Scheduleread More",3842.0,₹42.5 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1305 sqft,New Property,Poss. By Dec '26,5 Out Of 12,Unfurnished,East,"He Beautifully Designed Granite Flooring Enhances The Beauty Of The Flat. Moreover, This Property Offers Close Proximity To Important Landmarks Such As Close To Mall, , And Close To School. Many Of The Modern Amenities Being Offered, Like Swimming Pool, Cctv Surveillance, Club House  Community Center, Fitness Centre  Gym, Park, Lifts, Maintenance Staff And Visitor Parking, Will Provide A Pleasant Living Experience For You. This Residential Project Ensures A 247 Water Supply For Its Residents.Read More",3678.0,₹48 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1290 sqft,Resale,Ready To Move,5 Out Of 13,Furnished,East,"2 Bhk, Multistorey Apartment Is Available For Sale In Palanpur, Surat For 45.0 Lac(S)Read More",3488.0,₹45 Lac 
2 Bhk Apartment For Sale In Bamroli Surat,Super Area,975 sqft,New Property,Poss. By Apr '25,6 Out Of 13,Unfurnished,South - East,2 Bhk Luxurious Flat For Sell In Surat Citys Prime Area With Attractive Price.Read More,3282.0,₹32 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1250 sqft,New Property,Ready To Move,7 Out Of 14,Unfurnished,East,2 Bhk Flat For Sell In Jaahngirabad Prime Area With All Aminities.Read More,2800.0,₹35 Lac 
2 Bhk Apartment For Sale In Godadara Surat,Carpet Area,725 sqft,New Property,Poss. By Jan '25,7 Out Of 14,Unfurnished,South -West,2 And 3 Bhk Luxurious Flats At Prime Locations.,3500.0,₹46.2 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1558 sqft,Resale,Ready To Move,1 Out Of 5,Unfurnished,North - East,"2 Bhk Flat For Rent, It Is A Superb Property And Offers An Excellent View. The Flat Is Semi Furnished With Multiple Amenities And Promises A Comfortable Stay. Indeed, The Society Too Has For Enjoyment, Such As Club Housecommunity Center, And Security Personnel Etc, Other Facilities Include Intercom Facility, Lift  And Park Etc.Read More",3017.0,₹47 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,727 sqft,New Property,Ready To Move,7 Out Of 13,Unfurnished,East,"4 Balconies Per Flat Basement Parking  Indoor Play And Function Area Passage Clubhouse Size Passage       Area Space Per Floorplaning As Per Vastumultipurpose Sports Areagazebo Seating24X7 Security Surveillancesolar Panel Inbuilt For Low Maintenance Life Timemultipurpose Play Court     Cricket, Badminton, Basketball,      Volleyballlandscape Gardenopen Big Campus Area   Party Space And Many More..Read More",3075.0,₹38.5 Lac 
Plot/Land For Sale In Bhatpore Surat,Plot Area,120 sqft,Congo,Freehold,Resale,2,Garden/Park,"120 Sq-Ft Residential Plot Is Available For Sale In Bhatpore, Surat For 42.0 Lac(S)Read More",35000.0,₹42 Lac 
Shop For Sale In Kosamba Surat,Carpet Area,425 sqft,Resale,Ready To Move,1 Out Of 2,Unknown,Unknown,"Commercial Shop Is Available For Sale In Kosamba, Surat For 20.0 Lac(S)Read More",4706.0,₹20 Lac 
Office Space For Sale In Udhna Surat,Carpet Area,396 sqft,Resale,Ready To Move,2 Out Of 10,3,Unknown,"Commercial Office Space Is Available For Rent. Carpet Area 396 Sq-Ft, Fully Furnished With Colour, Front Partition And Cabin Office, Main Road Touch, Front Location, Common Parking, Visiters Parking, Two Banks And Atm In Complex, Mazanine Floor Office, No Lift Required, Fully Commercial Complex, Fully Industrial And Gidc Area, Brts Bus Stop Opp Complex, 3 Km Udhna Railway Station, 2 Km St Bus Station, 6 Km Airport.Read More",5808.0,₹23 Lac 
Plot/Land For Sale In Narthan Surat,Plot Area,1055 sqft,Resale,21 X 50.2,Freehold,2,1,More Than 7 International School Running In This Area Green Area Just 7 Kms Dmart Jhangripura From This Society. Golden Opportunity To Invest In This Area.Read More,2275.0,₹24 Lac 
1 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,735 sqft,Resale,Ready To Move,12 Out Of 14,Unfurnished,Main Road,"A Spacious 1Bhk Road Facing Brand New Flat For Sale In A New Luxurious High Rise Apartment. The Building Has The Facilities Available Like Garden, Children Play Area, Well Designed Building Reception, 2 Automatic Auto Door Lifts Etcread More",3810.0,₹28 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1326 sqft,Resale,Ready To Move,9 Out Of 14,Unfurnished,East,2 Bhk  3 Bhk  Apartments At Palanpur. With All Amenities Best Location For Best Deal Callread More,3771.0,₹50 Lac 
Office Space For Sale In Vesu Surat,Super Area,510 sqft,New Property,Poss. By Dec '25,3 Out Of 12,"1 Covered,",1,"Vacanzza Atlas, The Dream Commercial Project, Is Located On A Premium Vesu Canal Road Opposite Gd Goenka School. This Is A Perfect Business Center, With Shops On Ground And Upper Floor, Amenities On 1St Floor, Offices From 3Rd To 12Th Floor, And A Roof Top Cafeteria. The Dream Place For Corporate And Professional Offices, And For Consultants.Read More",7000.0,₹35.7 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Super Area,1178 sqft,Resale,Ready To Move,10 Out Of 14,Unfurnished,East,"Near New Dmart. Decent For Leaving,  Regular Water Supply, The Perfect Home For Familynear New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmart. Near Panta Loons, Dmart Char Rasta. Near Theatre Near. Near New Dmartread More",3099.0,₹36.5 Lac 
3 Bhk Apartment For Sale In Jahangir Pura Surat,Super Area,1900 sqft,Resale,Ready To Move,7 Out Of 14,Unfurnished,South -West,3 Bhk Levish Flat For Sell With All Aminities.Contact For More Details.Read More,2632.0,₹50 Lac 
3 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,80 sqm,Resale,Ready To Move,2 Out Of 12,Unfurnished,East,"Experience The Grandeur Of Luxurious Living In This Expansive 3 Bhk Flat Located In The Heart Of Jahangirabad, Surat. With The Advantage Of Freehold Ownership, A Construction Age Of Less Than 5 Years, And Offering An Exceptional Investment Opportunity, This Property Stands As A Testament To Unmatched Sophistication And Value.Property Specifications Step Into A World Of Comfort And Convenience With This Exquisite Property Boasting A Carpet Area Of 80 Sqm. Situated On The 2Nd Floor Of An East-Facing Building, This Ready-To-Move-In Gem Is Flooded With Natural Sunlight And Ventilation, Creating A Refreshing Ambience Throughout.As You Enter, You'Re Greeted By An Expansive Living Area With Vitrified Tile Flooring That Adds A Touch Of Elegance To The Space. The Property Features Three Bedrooms, Each Designed For Optimal Comfort And Privacy, Along With Three Bathrooms Offering Modern Fixtures And Fittings.One Of The Highlights Of This Property Is Its Wide And Airy Balcony, Perfect For Relaxing Evenings Or Morning Coffees With A View. The Well-Equipped Kitchen Is A Culinary Enthusiast'S Dream, Featuring Ample Storage Space And Functionality.Facilities In Terms Of Facilities, You'Ll Find An Open Parking Space For One Vehicle, Ensuring Convenience For Residents. Water Availability Is Round-The-Clock, And The Property Experiences Rare Power Cuts, Ensuring Uninterrupted Daily Life. Additionally, There'S A Lift Available For Easy Access To The Second Floor.Locality Jahangirabad In Surat Is A Vibrant Locality Known For Its Blend Of Urban Conveniences And Peaceful Surroundings. Situated Strategically, It Offers Easy Access To Key Amenities And Attractions, Making It A Sought-After Residential Destination. This Area Boasts A Well-Developed Infrastructure With A Range Of Schools, Hospitals, And Supermarkets Within Close Proximity, Catering To The Daily Needs Of Residents. Public Transport Options Are Readily Available, Ensuring Seamless Connectivity To Other Parts Of The City.For Those Who Enjoy Leisure And Recreation, Jahangirabad Offers Parks And Recreational Facilities, Providing Ample Opportunities For Relaxation And Outdoor Activities. The Presence Of Commercial Establishments And Markets Adds To The Convenience, Making It A Self-Sufficient Locality.Read More",4697.5,₹36 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1600 sqft,Resale,Ready To Move,3 Out Of 12,Unfurnished,3,"3 Bhk, Multistorey Apartment Is Available For Sale In Palanpur, Surat For 43.58 Lac(S)Read More",2724.0,₹43.6 Lac 
Shop For Sale In Rajhnsh Platinum Plaza Surat,Super Area,445 sqft,Resale,Ready To Move,1 Out Of 4,2 Covered,Unknown,"Commercial Shop Is Available For Sale In , Surat For 25.0 Lac(S)Read More",5618.0,₹25 Lac 
2 Bhk Apartment For Sale In Bamroli Surat,Carpet Area,680 sqft,New Property,Poss. By Jan '26,6 Out Of 14,Unfurnished,East,"2 Bhk Available For Salewith Morden Aminitis Like Garden, Gym,Pool, Temple, Tracking,Prime Locationmain Road Center Of Surateverything Is Near By Contact Us For More Details.Read More",3747.0,₹46.5 Lac 
2 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,721 sqft,Resale,Ready To Move,3 Out Of 5,Semi-Furnished,East,Near Upcoming Metro Station. Also Near To City Bus Stop And Hospitalread More,2936.0,₹32 Lac 
Office Space For Sale In Nanpura Surat,Carpet Area,400 sqft,Resale,Ready To Move,2 Out Of 5,1 Covered,1,This Is A River Facing Office   Furnished Office  Suitable For C.A  Advocate Or Personal Office For Any Business Men.Read More,5578.0,₹41 Lac 
2 Bhk Apartment For Sale In Swagat Home Surat,Carpet Area,545 sqft,Resale,Poss. By Dec '24,13 Out Of 14,Unfurnished,East,Swagat Home,3451.0,₹33.5 Lac 
1 Bhk Apartment For Sale In Palanpur Surat,Super Area,813 sqft,New Property,Poss. By Aug '25,4 Out Of 14,Unfurnished,East,Multistorey Apartment Is Available For Sale. It Is A Good Location Property. Please Contact For More Details.Read More,3507.0,₹28.5 Lac 
1 Bhk Apartment For Sale In Palanpur Surat,Super Area,990 sqft,New Property,Poss. By Jul '24,5 Out Of 13,Unfurnished,East,"1 Bhk, Multistorey Apartment Is Available For Sale In Palanpur, Surat For 28.0 Lac(S)Read More",2828.0,₹28 Lac 
1 Bhk Apartment For Sale In Jahangir Pura Surat,Carpet Area,500 sqft,Resale,Ready To Move,5 Out Of 12,Furnished,East,New Bulding With Good Farnichar Middal Floor,3636.0,₹28 Lac 
2 Bhk  House For Sale In Nansad Surat,Carpet Area,42 sqm,Resale,Ready To Move,Ground Out Of 1,Unfurnished,East,"House At Block No. 81171, Plot No. 71, Vraj Nandini Residency Vibhag 2,  Vill. Nansad, Taluka Kamrej, Dist. Suratread More",1951.0,₹9 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,970 sqft,Resale,Ready To Move,6 Out Of 10,Semi-Furnished,East,3Bhk Fully Furnished,3093.0,₹30 Lac 
2 Bhk Apartment For Sale In Jahangir Pura Surat,Super Area,1180 sqft,Resale,Ready To Move,5 Out Of 5,Unfurnished,2,"Discover A Cozy Haven Nestled In The Vibrant Neighborhood Of Jahangir Pura, Surat. This 2 Bhk Flat For Sale Offers A Perfect Blend Of Comfort And Convenience, Ideal For Those Seeking A Modern Urban Lifestyle. With Its Thoughtful Design And Prime Location, This Property Promises A Serene Living Experience In The Heart Of The City.Property Specificationsspanning A Super Area Of 1180 Sqft, This 2 Bhk Flat Resides On The Fifth Floor Of A Well-Maintained 5-Storey Building, Offering A Serene Retreat Away From The City'S Hustle And Bustle.Upon Entering, You Are Greeted By An Airy Living Cum Dining Area, Providing Ample Space For Relaxation And Entertainment. The Unfurnished Interiors Allow For Personalized Touches To Make This Space Truly Your Own. Adjoining The Living Area Is A Balcony That Offers A Picturesque View Of The Surrounding Buildings, Perfect For Enjoying Your Morning Coffee Or Unwinding After A Long Day.This Flat Boasts Two Bedrooms, Each Designed To Provide Comfort And Privacy. Also, There Are Two Western-Style Bathrooms, One Of Which Is Attached To A Bedroom, While A Common Bathroom Serves The Needs Of Guests And Residents Alike.The Heart Of This Home Is Its Well-Equipped Kitchen, Complete With A Piped Gas Connection And A Utility Area For Added Convenience. The Flooring Throughout The Flat Is Adorned With Sleek Vitrified Tiles, Enhancing The Overall Aesthetic Appeal While Ensuring Easy Maintenance.Facilitiesresidents Will Enjoy A Host Of Amenities Designed To Elevate Their Living Experience. Covered Parking Ensures The Safety Of Your Vehicle, While Round-The-Clock Water Supply And Security Guard Services Offer Peace Of Mind. Cctv Surveillance And A Dedicated Lift Further Enhance The Safety And Convenience Of This Residence.Localityjahangir Pura, Surat, Is A Bustling Residential Locality Known For Its Vibrant Atmosphere And Convenient Amenities. The Area Is Well-Connected To The City Center And Other Key Areas, Making It An Ideal Choice For Those Seeking A Blend Of Urban Convenience And Suburban Tranquility. With Its Proximity To Schools, Colleges, Hospitals, Shopping Centers, And Recreational Facilities, Jahangir Pura Provides A Comfortable And Convenient Lifestyle For Its Residents.Read More",2712.0,₹32 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,750 sqft,Resale,Ready To Move,3 Out Of 5,Unfurnished,East,"2 Bhk Exclusive Wind Direction Flat For Sale Nr. Raj World Palanpur.Road Side View, Garden View, Wind Direction, East Facing, South West Open Flat. For Sale.Read More",3304.0,₹38 Lac 
2 Bhk Apartment For Sale In Shardhaa Surat,Carpet Area,1100 sqft,Resale,Ready To Move,2 Out Of 5,Furnished,East,"Multistorey Apartment Is Available For Sale. Nice Campus Location, Cctv Allow, Garden Space Allow.Read More",4697.5,₹40 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,1000 sqft,Resale,Ready To Move,2 Out Of 4,Furnished,East,Short Distance From Surat Station,3951.0,₹39.5 Lac 
1 Bhk Apartment For Sale In Bhesan Road Surat,Super Area,813 sqft,New Property,Poss. By Feb '25,7 Out Of 14,Unfurnished,East,Ugat Bhesan Road Surat Near Metro Stationand Near Garden Vegetable Market Good Locationread More,3567.0,₹29 Lac 
1 Bhk Apartment For Sale In Katar Gam Surat,Super Area,550 sqft,Resale,Ready To Move,5 Out Of 5,Unfurnished,East,"1 Bhk, Multistorey Apartment Is Available For Sale In Katar Gam, Surat For 20.0 Lac(S)Read More",3636.0,₹20 Lac 
1 Bhk Apartment For Sale In Bhatar Surat,Super Area,800 sqft,Resale,Ready To Move,1 Out Of 4,Furnished,1,Road Facing,3750.0,₹30 Lac 
Office Space For Sale In Katar Gam Surat,Super Area,280 sqft,Resale,Ready To Move,1 Out Of 4,Unknown,Unknown,"Commercial Office Space Is Available For Sale In Katar Gam, Surat For 36.0 Lac(S)Read More",12857.0,₹36 Lac 
1 Bhk Apartment For Sale In Adajan Surat,Carpet Area,450 sqft,Resale,Ready To Move,1 Out Of 5,Unfurnished,1,"1 Bhk, Multistorey Apartment Is Available For Sale In Adajan, Surat For 21.50 Lac(S)Read More",3909.0,₹21.5 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,1250 sqft,Resale,Ready To Move,2 Out Of 4,Furnished,2,"Fully Furnished Ready To Move In House . With Ac , Washing Machineread More",3600.0,₹45 Lac 
2 Bhk Builder Floor For Sale In Varachha Surat,Super Area,800 sqft,Resale,Ready To Move,3 Out Of 4,Unfurnished,2,"2 Bhk, Builder Floor Apartment Is Available For Sale In Varachha, Surat For 10.50 Lac(S)Read More",1312.0,₹10.5 Lac 
2 Bhk Builder Floor For Sale In Nana Varachha Surat,Super Area,1267 sqft,Resale,Ready To Move,2 Out Of 4,Furnished,North - West,"2 Bhk, Builder Floor Apartment Is Available For Sale In Nana Varachha, Surat For 50.0 Lac(S)Read More",3946.0,₹50 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Super Area,1200 sqft,Furnished,3 Out Of 10,Resale,Freehold,2,"2 Bhk Multistorey Apartment Is Available For Sale With Kitchen, Dining Table, Double Bed, Wardrobe, Computer Table Etc. 24 Hours Electricity With Power Generator, Security And Well Maintained Building. Please Contact For More Details.Read More",3333.0,₹40 Lac 
1 Bhk  House For Sale In Kadodara Surat,Carpet Area,600 sqft,Unfurnished,Ready To Move,Resale,East,Main Road,Good,3000.0,₹18 Lac 
2 Bhk Apartment For Sale In Citylight Area Surat,Carpet Area,750 sqft,Resale,Ready To Move,7 Out Of 10,Unfurnished,2,"This Spacious Home Is On Floor 7 Of 10 And Is Built Up In 900 Sq-Ft. It Is A Well-Designed Spacious Home Situated In Citylight Area. Offering 2 Bedroom And 2 Spacious Bathrooms, The Home Is Unfurnished. 37 Lac Is The Expected Price Of Home. Read More",4111.0,₹37 Lac 
1 Bhk  House For Sale In Sayan Surat,Carpet Area,432 sqft,New Property,Ready To Move,Ground Out Of 1,Unfurnished,East,"1 Bhk, Residential House Is Available For Sale In Sayan, Surat For 10.0 Lac(S)Read More",2315.0,₹10 Lac 
